City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cantanhede,-3.63,-44.38,75.92,85,11,4.9,BR,1604115838
Alice Springs,-23.7,133.88,78.8,16,0,10.29,AU,1604115838
Amarante do Maranhão,-5.57,-46.74,71.58,82,100,1.32,BR,1604115742
Guarda,40.54,-7.27,45.0,73,0,7.0,PT,1604115839
Ukiah,39.15,-123.21,60.8,36,1,2.3,US,1604115551
Port Augusta,-32.5,137.77,64.4,68,90,16.11,AU,1604115839
Coyhaique,-45.58,-72.07,50.0,66,0,5.82,CL,1604115839
Lagoa,39.05,-27.98,68.38,94,100,23.15,PT,1604115470
Kavieng,-2.57,150.8,83.73,70,100,5.28,PG,1604115840
Zamora,-4.07,-78.96,68.34,59,99,5.1,EC,1604115840
São José da Coroa Grande,-8.9,-35.15,76.64,86,100,10.25,BR,1604115840
Palora,-1.7,-77.93,67.77,86,100,2.55,EC,1604115840
Broome,42.25,-75.83,30.2,80,90,1.5,US,1604115207
Lhokseumawe,5.18,97.15,86.56,63,41,4.18,ID,1604115841
Manaure,11.78,-72.44,82.76,77,88,4.68,CO,1604115841
São Filipe,14.9,-24.5,80.29,64,100,15.9,CV,1604115841
Departamento de Maldonado,-34.67,-54.92,51.8,87,0,5.82,UY,1604115841
Abu Samrah,35.3,37.18,59.68,70,98,1.97,SY,1604115842
Rawson,-43.3,-65.1,60.64,38,0,12.71,AR,1604115517
Pokrovskoye,47.42,38.9,53.67,90,85,2.06,RU,1604115842
Isangel,-19.55,169.27,84.2,66,75,6.93,VU,1604115480
Kalikino,52.95,39.83,42.8,100,90,6.71,RU,1604115843
Bourail,-21.57,165.48,85.17,46,16,8.1,NC,1604115843
Kirakira,-10.45,161.92,83.1,70,76,3.42,SB,1604115843
Kristinestad,62.27,21.38,42.21,88,2,5.97,FI,1604115843
Corrente,-3.74,-43.34,73.98,87,18,3.4,BR,1604115843
Dhidhdhoo,6.88,73.1,82.08,69,6,4.34,MV,1604115844
Port Hardy,50.7,-127.42,48.2,100,5,4.7,CA,1604115474
Marawi,8.0,124.29,84.0,75,77,3.0,PH,1604115553
Lompoc,34.64,-120.46,55.4,93,40,5.35,US,1604115823
Ichinoseki,38.92,141.13,57.2,50,20,2.24,JP,1604115844
Portland,45.52,-122.68,52.0,77,32,3.6,US,1604115254
Fairbanks,64.84,-147.72,12.2,85,90,3.36,US,1604115477
Sabang,5.89,95.32,82.36,75,99,10.65,ID,1604115844
Grindavik,63.84,-22.43,41.0,93,75,19.46,IS,1604115845
Cap Malheureux,-19.98,57.61,71.01,51,0,10.0,MU,1604115845
Ronneby,56.21,15.28,42.8,100,95,5.82,SE,1604115296
Lonār,19.98,76.53,76.84,53,1,5.79,IN,1604115845
Gimli,50.63,-96.99,37.4,80,100,23.04,CA,1604115845
Berlevåg,70.86,29.09,31.08,94,46,12.64,NO,1604115846
Norman Wells,65.28,-126.83,10.4,85,75,9.17,CA,1604115461
Zasheyek,67.41,32.55,27.09,97,1,4.32,RU,1604115846
Rambha,19.52,85.1,82.09,49,65,4.99,IN,1604115846
Slavuta,50.3,26.87,38.98,90,47,4.14,UA,1604115846
Virginia Beach,36.85,-75.98,54.0,71,40,11.41,US,1604115017
San Vicente,-26.62,-54.13,58.96,85,74,3.4,AR,1604115483
Caravelas,-17.71,-39.25,75.0,87,63,6.93,BR,1604115847
Shaunavon,49.65,-108.42,42.8,75,34,14.99,CA,1604115833
Mount Gambier,-37.83,140.77,55.4,76,90,16.11,AU,1604115495
Pisco,-13.7,-76.22,64.4,82,90,5.82,PE,1604115847
Osakarovka,50.56,72.57,34.09,85,0,2.82,KZ,1604115847
Viloco,-16.95,-67.55,42.78,86,95,4.21,BO,1604115847
Kununurra,-15.77,128.73,100.4,27,91,5.82,AU,1604115848
Ostuacán,17.42,-93.3,67.15,98,100,2.89,MX,1604115848
Constitución,-35.33,-72.42,56.88,71,0,6.31,CL,1604115457
Maţāy,28.42,30.78,66.42,80,0,17.29,EG,1604115558
Payo,-3.75,103.64,92.55,53,42,2.44,ID,1604115848
Upata,8.01,-62.4,79.0,93,100,1.01,VE,1604115848
Porto Walter,-8.27,-72.74,70.45,98,100,1.54,BR,1604115849
Tharād,24.4,71.63,83.66,18,0,5.82,IN,1604115849
Ayan,56.45,138.17,31.3,87,66,2.51,RU,1604115849
Bima,-8.47,118.72,89.44,56,87,0.65,ID,1604115849
Alexander City,32.94,-85.95,48.2,87,1,6.73,US,1604115849
Karratha,-20.74,116.85,88.16,42,0,13.98,AU,1604115336
Kaitangata,-46.28,169.85,55.99,90,100,10.0,NZ,1604115849
Meridian,43.61,-116.39,55.4,35,20,8.05,US,1604115634
Chokurdakh,70.63,147.92,9.55,96,100,7.18,RU,1604115850
Belmonte,-15.86,-38.88,77.0,83,0,6.93,BR,1604115450
Onega,63.91,38.14,33.19,92,0,5.88,RU,1604115850
Luanda,-8.84,13.23,77.0,88,75,2.24,AO,1604115609
San Patricio,28.02,-97.52,57.0,93,1,5.77,US,1604115850
George Town,5.41,100.34,89.6,66,20,3.36,MY,1604115850
Pokhara,28.23,83.98,83.46,17,69,2.93,NP,1604115851
Riverton,40.52,-111.94,55.99,43,1,8.05,US,1604115611
Middelburg,-25.78,29.46,60.01,74,14,15.61,ZA,1604115851
Tehri,30.38,78.48,68.0,68,20,1.57,IN,1604115851
South Yuba City,39.12,-121.64,59.0,50,1,3.44,US,1604115701
Coracora,-15.03,-73.78,48.54,69,91,0.43,PE,1604115851
Kasongo-Lunda,-6.47,16.82,68.04,94,96,0.72,CD,1604115851
Debre Tabor,11.85,38.02,49.84,78,42,4.79,ET,1604115852
Lüderitz,-26.65,15.16,58.05,63,100,23.4,NA,1604115495
Ormara,25.21,64.64,78.84,25,0,6.04,PK,1604115852
Chui,-33.7,-53.46,53.15,86,99,6.08,UY,1604115499
Chara,56.91,118.26,16.21,86,57,1.28,RU,1604115853
Pontian Kecil,1.48,103.39,88.0,70,20,2.24,MY,1604115853
Fort Nelson,58.81,-122.7,14.0,92,40,3.36,CA,1604115854
Santo Antônio do Leverger,-15.87,-56.08,78.8,69,0,3.36,BR,1604115854
Lac-Mégantic,45.58,-70.88,24.01,83,41,3.0,CA,1604115786
Mehamn,71.04,27.85,29.84,94,30,9.53,NO,1604115854
Outlook,51.5,-107.05,44.6,86,99,21.92,CA,1604115854
Yulara,-25.24,130.99,80.6,11,25,8.05,AU,1604115854
Pineville,31.32,-92.43,50.0,81,1,5.82,US,1604115854
Luwuk,-0.95,122.79,78.66,79,100,6.64,ID,1604115545
Buala,-8.14,159.59,83.73,70,77,2.35,SB,1604115513
Puqi,29.72,113.88,61.93,85,100,0.2,CN,1604115855
Lander,42.83,-108.73,57.2,16,1,8.05,US,1604115855
Matsumoto,36.23,137.97,57.99,53,0,3.36,JP,1604115855
Kungurtug,50.6,97.52,25.88,89,100,9.6,RU,1604115447
Bongandanga,1.5,21.05,69.26,99,98,1.5,CD,1604115855
Naliya,23.27,68.83,82.4,39,1,8.61,IN,1604115855
Rogers,36.37,-95.58,51.01,61,1,4.7,US,1604115856
Mayo,38.89,-76.51,48.99,87,90,4.7,US,1604115311
Eyl,7.98,49.82,80.6,69,94,8.63,SO,1604115538
Nchelenge,-9.35,28.73,70.52,70,35,6.46,ZM,1604115856
Wanning,18.8,110.4,79.09,76,82,14.05,CN,1604115857
Sur,22.57,59.53,79.77,50,0,11.9,OM,1604115461
Beringovskiy,63.05,179.32,22.37,89,73,13.73,RU,1604115857
Lata,40.16,-8.33,61.0,100,0,4.7,PT,1604115490
Sault Ste. Marie,46.52,-84.33,30.2,68,90,5.82,CA,1604115770
Ziyang,29.25,117.85,68.2,54,87,4.16,CN,1604115857
Geraldton,-28.77,114.6,71.6,73,90,14.99,AU,1604115857
Miloslavskoye,53.58,39.44,43.07,88,100,5.99,RU,1604115858
Pacific Grove,36.62,-121.92,57.0,87,1,2.57,US,1604115660
Srednekolymsk,67.45,153.68,6.39,95,100,1.12,RU,1604115531
Thompson,55.74,-97.86,17.6,78,90,6.93,CA,1604115449
Vilyuysk,63.76,121.62,-3.95,88,46,1.9,RU,1604115495
General Roca,-39.03,-67.58,64.4,42,0,2.24,AR,1604115460
Esmeraldas,-19.76,-44.31,69.8,100,75,2.24,BR,1604115539
Mahanje,-9.93,35.33,63.46,73,52,2.82,TZ,1604115859
Khovd,48.01,91.64,33.64,73,6,3.62,MN,1604115859
San Jose,37.34,-121.89,61.0,72,40,4.7,US,1604115525
Srbac,45.1,17.52,44.6,100,53,2.24,BA,1604115859
Pontianak,-0.03,109.33,89.98,57,94,3.49,ID,1604115859
Eureka,40.8,-124.16,50.0,87,1,3.42,US,1604115859
Kloulklubed,7.04,134.26,87.8,70,90,14.99,PW,1604115502
Nouakchott,18.09,-15.98,71.6,78,0,14.99,MR,1604115859
Srandakan,-7.94,110.25,86.61,62,49,7.9,ID,1604115860
Banganapalle,15.32,78.23,81.21,55,0,4.07,IN,1604115860
Coquimbo,-29.95,-71.34,53.6,87,90,3.36,CL,1604115458
Quatre Cocos,-20.21,57.76,71.01,56,20,14.99,MU,1604115469
Presidente Epitácio,-21.76,-52.12,68.16,69,70,8.1,BR,1604115860
Iracoubo,5.48,-53.2,79.74,86,9,10.76,GF,1604115860
Aykhal,66.0,111.5,1.4,84,90,2.24,RU,1604115860
Dikson,73.51,80.55,14.86,96,98,26.84,RU,1604115478
Ghanzi,-21.57,21.78,72.86,25,91,8.32,BW,1604115861
Tsimmerbude,54.67,20.13,46.4,93,75,8.95,RU,1604115861
Thunder Bay,48.4,-89.32,27.0,85,5,3.36,CA,1604115861
Iqaluit,63.75,-68.51,17.6,78,90,8.05,CA,1604115862
Saint-Augustin,51.23,-58.65,26.35,85,0,9.69,CA,1604115536
Bandundu Province,-3.32,17.37,70.9,95,89,0.89,CD,1604115862
Waldheim,51.07,13.02,54.0,96,100,10.65,DE,1604115862
Shubarkuduk,49.14,56.49,42.33,60,54,14.14,KZ,1604115862
Chase,50.82,-119.69,41.0,93,3,3.36,CA,1604115862
Kyaikkami,16.08,97.57,84.16,74,58,8.01,MM,1604115862
Faya,18.39,42.45,55.4,66,0,0.65,SA,1604115862
Hambantota,6.12,81.12,83.95,66,92,4.68,LK,1604115493
Seymchan,62.88,152.43,14.77,92,98,1.88,RU,1604115863
Calabar,4.95,8.32,73.71,96,66,1.03,NG,1604115864
Port Blair,11.67,92.75,83.82,75,78,10.0,IN,1604115865
Dicabisagan,17.08,122.42,79.0,82,97,16.78,PH,1604115865
Sebeta,8.92,38.62,53.35,65,48,0.96,ET,1604115865
Lagos,6.58,3.75,76.12,95,71,2.3,NG,1604115865
Pauini,-7.71,-66.98,74.39,92,97,3.04,BR,1604115865
Pandan,14.05,124.17,81.86,83,100,20.6,PH,1604115866
Flin Flon,54.77,-101.86,21.09,97,100,17.4,CA,1604115866
Oktyabr'skoye,43.06,44.74,39.2,93,98,4.47,RU,1604115866
Yerbogachën,61.28,108.01,11.88,92,100,6.76,RU,1604115452
Lichinga,-13.31,35.24,59.0,93,75,11.41,MZ,1604115866
Ilek,51.53,53.38,43.38,62,100,13.09,RU,1604115866
Kysyl-Syr,63.9,122.76,-3.23,86,30,1.9,RU,1604115540
Callaway,30.15,-85.57,60.8,72,1,9.17,US,1604115866
Bengkulu,-3.8,102.27,83.28,69,90,4.81,ID,1604115508
Port Macquarie,-31.43,152.92,82.99,57,25,1.99,AU,1604115743
Tiznit Province,29.58,-9.5,67.19,26,0,4.7,MA,1604115867
Talaya,61.38,152.75,22.91,91,97,4.03,RU,1604115867
Zhezkazgan,47.8,67.71,39.33,66,1,6.96,KZ,1604115520
Bemidji,47.47,-94.88,35.6,69,1,14.99,US,1604115867
Saldanha,-33.01,17.94,50.0,76,0,6.93,ZA,1604115458
Changji,44.02,87.32,44.6,48,0,2.24,CN,1604115867
Grand Prairie,32.75,-97.0,55.4,71,1,4.88,US,1604115674
Gazojak,41.19,61.4,48.9,45,12,8.05,TM,1604115868
Mayumba,-3.43,10.66,76.03,90,100,3.6,GA,1604115535
Caibarién,22.52,-79.47,77.0,94,0,4.7,CU,1604115868
Vanimo,-2.67,141.3,85.78,61,100,5.91,PG,1604115868
Padang,-0.95,100.35,78.8,83,40,9.17,ID,1604115459
Digha,21.68,87.55,80.62,67,93,11.7,IN,1604115870
Bay Roberts,47.6,-53.26,34.0,81,100,3.0,CA,1604115677
Saint-Philippe,-21.36,55.77,69.8,52,75,10.29,RE,1604115870
Guerrero Negro,27.98,-114.06,67.35,57,15,9.17,MX,1604115870
Katsuura,35.13,140.3,64.99,51,20,6.93,JP,1604115487
Yangi Marg`ilon,40.43,71.72,42.8,33,0,6.93,UZ,1604115870
Rimouski,48.45,-68.52,30.2,63,20,13.87,CA,1604115870
